Number,Name,Missions,1,2,3,4,5,6,Boss
1,"Punishment, Thy Name is Ruin",DDDDD(D),Westopolis,Digital Circuit,Cryptic Castle,Central City,The ARK,G.U.N. Fortress,Sonic and Diablon
2,Prologue to World Conquest,DDDDD(H),Westopolis,Digital Circuit,Cryptic Castle,Central City,The ARK,G.U.N. Fortress,Black Doom
3,The March to a Darker World,DDDDN(D),Westopolis,Digital Circuit,Cryptic Castle,Central City,The ARK,Black Comet,Sonic and Diablon
4,The Ultimate Ego,DDDDN(H),Westopolis,Digital Circuit,Cryptic Castle,Central City,The ARK,Black Comet,Egg Dealer
5,Purification via Ruination,DDDHD(D),Westopolis,Digital Circuit,Cryptic Castle,Central City,Air Fleet,G.U.N. Fortress,Sonic and Diablon
6,Apogee of Darkness,DDDHD(H),Westopolis,Digital Circuit,Cryptic Castle,Central City,Air Fleet,G.U.N. Fortress,Black Doom
7,True Soldier of Destruction,DDDHN(D),Westopolis,Digital Circuit,Cryptic Castle,Central City,Air Fleet,Black Comet,Sonic and Diablon
8,Believe in Yourself,DDDHN(H),Westopolis,Digital Circuit,Cryptic Castle,Central City,Air Fleet,Black Comet,Egg Dealer
9,An Android’s Determination,DDDHH(D),Westopolis,Digital Circuit,Cryptic Castle,Central City,Air Fleet,Lava Shelter,Egg Dealer
10,"For Machine, By Machine...",DDDHH(H),Westopolis,Digital Circuit,Cryptic Castle,Central City,Air Fleet,Lava Shelter,Egg Dealer
11,Revenge at Last,DDNDD(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,The ARK,G.U.N. Fortress,Sonic and Diablon
12,Ego’s Awakening,DDNDD(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,The ARK,G.U.N. Fortress,Black Doom
13,Destruction and Scorn,DDNDN(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,The ARK,Black Comet,Sonic and Diablon
14,The Last Remaining Purpose,DDNDN(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,The ARK,Black Comet,Egg Dealer
15,The Nightmare’s Insulation,DDNND(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Air Fleet,G.U.N. Fortress,Sonic and Diablon
16,The Nightmare’s Sublimation,DDNND(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Air Fleet,G.U.N. Fortress,Black Doom
17,The Loner’s Choice,DDNNN(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Air Fleet,Black Comet,Sonic and Diablon
18,Subjugation in Black,DDNNN(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Air Fleet,Black Comet,Egg Dealer
19,Replica’s Depression,DDNNH(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Air Fleet,Lava Shelter,Egg Dealer
20,"Machine, Machine",DDNNH(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Air Fleet,Lava Shelter,Egg Dealer
